"","formulas_with","formulas_without","pvals"
"827","response~(history+used_car+age)^3","response~history+used_car+age",0.0199657065090964
"693","response~(duration+male_mar_or_wid+foreign)^3","response~duration+male_mar_or_wid+foreign",0.0199228299125684
"803","response~(history+new_car+other_install)^3","response~history+new_car+other_install",0.0198492486725561
"2394","response~(education+male_div+rent)^3","response~education+male_div+rent",0.0198262319634927
"2541","response~(retraining+sav_acct+employment)^3","response~retraining+sav_acct+employment",0.019708146549657
"2475","response~(education+real_estate+foreign)^3","response~education+real_estate+foreign",0.0196804808152361
"1111","response~(history+other_install+job)^3","response~history+other_install+job",0.0196790934160801
"4000","response~(age+job+telephone)^3","response~age+job+telephone",0.0195491732203896
"1530","response~(used_car+retraining+amount)^3","response~used_car+retraining+amount",0.0194401324337375
"2378","response~(education+install_rate+rent)^3","response~education+install_rate+rent",0.0193584762443479
"3706","response~(co.applicant+guarantor+num_dependents)^3","response~co.applicant+guarantor+num_dependents",0.0192872196119754
"798","response~(history+new_car+guarantor)^3","response~history+new_car+guarantor",0.0190119823782302
"1120","response~(history+rent+foreign)^3","response~history+rent+foreign",0.0190114792418628
"3985","response~(age+rent+num_credits)^3","response~age+rent+num_credits",0.0189975508112858
"525","response~(duration+radio.tv+rent)^3","response~duration+radio.tv+rent",0.0185790147246146
"248","response~(chk_acct+employment+own_res)^3","response~chk_acct+employment+own_res",0.0185786144746025
"2123","response~(radio.tv+employment+co.applicant)^3","response~radio.tv+employment+co.applicant",0.0180945404236711
"191","response~(chk_acct+retraining+own_res)^3","response~chk_acct+retraining+own_res",0.0179457621548507
"1219","response~(new_car+education+real_estate)^3","response~new_car+education+real_estate",0.017943416490487
"2119","response~(radio.tv+employment+install_rate)^3","response~radio.tv+employment+install_rate",0.0179384586643395
"584","response~(duration+amount+real_estate)^3","response~duration+amount+real_estate",0.0178021901949759
"3115","response~(employment+male_div+prop_unkn_none)^3","response~employment+male_div+prop_unkn_none",0.0177742692411079
"1523","response~(used_car+education+rent)^3","response~used_car+education+rent",0.0175624264426035
"3202","response~(employment+prop_unkn_none+rent)^3","response~employment+prop_unkn_none+rent",0.0175222678363836
"1552","response~(used_car+amount+employment)^3","response~used_car+amount+employment",0.0174536890591211
"1880","response~(furniture+employment+job)^3","response~furniture+employment+job",0.0173302007382363
"594","response~(duration+amount+foreign)^3","response~duration+amount+foreign",0.0173293613434728
"2448","response~(education+guarantor+rent)^3","response~education+guarantor+rent",0.0172897487111475
"1223","response~(new_car+education+rent)^3","response~new_car+education+rent",0.0171999968067401
"3837","response~(guarantor+job+foreign)^3","response~guarantor+job+foreign",0.01703440211549
"1557","response~(used_car+amount+co.applicant)^3","response~used_car+amount+co.applicant",0.0169888627438455
"2100","response~(radio.tv+sav_acct+employment)^3","response~radio.tv+sav_acct+employment",0.016987033127948
"2602","response~(retraining+male_div+age)^3","response~retraining+male_div+age",0.0169778641933254
"3130","response~(employment+male_single+prop_unkn_none)^3","response~employment+male_single+prop_unkn_none",0.0167252853928111
"622","response~(duration+employment+prop_unkn_none)^3","response~duration+employment+prop_unkn_none",0.0164062257978896
"2358","response~(education+employment+prop_unkn_none)^3","response~education+employment+prop_unkn_none",0.0163334951752339
"2022","response~(furniture+own_res+num_credits)^3","response~furniture+own_res+num_credits",0.0161957586130545
"2509","response~(education+own_res+telephone)^3","response~education+own_res+telephone",0.0161731233599189
"415","response~(duration+history+employment)^3","response~duration+history+employment",0.0161435507503084
"2505","response~(education+rent+foreign)^3","response~education+rent+foreign",0.016094915451385
"3144","response~(employment+male_mar_or_wid+prop_unkn_none)^3","response~employment+male_mar_or_wid+prop_unkn_none",0.0159485966234743
"2603","response~(retraining+male_div+other_install)^3","response~retraining+male_div+other_install",0.0159283694339205
"648","response~(duration+install_rate+foreign)^3","response~duration+install_rate+foreign",0.0158111036208173
"2701","response~(retraining+age+telephone)^3","response~retraining+age+telephone",0.015777507879061
"1570","response~(used_car+amount+foreign)^3","response~used_car+amount+foreign",0.0157529953116086
"3584","response~(male_single+other_install+foreign)^3","response~male_single+other_install+foreign",0.0157188754946695
"2702","response~(retraining+age+foreign)^3","response~retraining+age+foreign",0.0157057392726508
"1439","response~(new_car+other_install+foreign)^3","response~new_car+other_install+foreign",0.0155667193969875
"2686","response~(retraining+prop_unkn_none+age)^3","response~retraining+prop_unkn_none+age",0.0155340756550506
"2698","response~(retraining+age+num_credits)^3","response~retraining+age+num_credits",0.0154128492451064
"2632","response~(retraining+male_mar_or_wid+other_install)^3","response~retraining+male_mar_or_wid+other_install",0.0150621458536598
"600","response~(duration+sav_acct+co.applicant)^3","response~duration+sav_acct+co.applicant",0.0149902665446866
"2705","response~(retraining+other_install+num_credits)^3","response~retraining+other_install+num_credits",0.0149438696149564
"1110","response~(history+other_install+num_credits)^3","response~history+other_install+num_credits",0.014942015302037
"3207","response~(employment+prop_unkn_none+telephone)^3","response~employment+prop_unkn_none+telephone",0.0149075277873434
"2136","response~(radio.tv+employment+foreign)^3","response~radio.tv+employment+foreign",0.0148472578580523
"2053","response~(radio.tv+education+own_res)^3","response~radio.tv+education+own_res",0.0147134959958875
"2667","response~(retraining+present_resident+age)^3","response~retraining+present_resident+age",0.0146640846992605
"2381","response~(education+install_rate+job)^3","response~education+install_rate+job",0.0145579045870011
"2508","response~(education+own_res+num_dependents)^3","response~education+own_res+num_dependents",0.0145131783965173
"975","response~(history+employment+other_install)^3","response~history+employment+other_install",0.014507585919081
"1695","response~(used_car+present_resident+real_estate)^3","response~used_car+present_resident+real_estate",0.0143584458947584
"547","response~(duration+education+rent)^3","response~duration+education+rent",0.0139998018925001
"1487","response~(used_car+radio.tv+amount)^3","response~used_car+radio.tv+amount",0.0139573218807489
"2125","response~(radio.tv+employment+present_resident)^3","response~radio.tv+employment+present_resident",0.0137496135092703
"852","response~(history+furniture+other_install)^3","response~history+furniture+other_install",0.0136717406368581
"2678","response~(retraining+real_estate+other_install)^3","response~retraining+real_estate+other_install",0.0133234061168168
"3208","response~(employment+prop_unkn_none+foreign)^3","response~employment+prop_unkn_none+foreign",0.0131524497111333
"3099","response~(employment+install_rate+prop_unkn_none)^3","response~employment+install_rate+prop_unkn_none",0.0131130190745589
"3007","response~(sav_acct+co.applicant+rent)^3","response~sav_acct+co.applicant+rent",0.0129295394481659
"2699","response~(retraining+age+job)^3","response~retraining+age+job",0.0127208147852246
"756","response~(duration+age+foreign)^3","response~duration+age+foreign",0.0126230707978789
"1298","response~(new_car+employment+prop_unkn_none)^3","response~new_car+employment+prop_unkn_none",0.0125848652295282
"4043","response~(own_res+num_credits+telephone)^3","response~own_res+num_credits+telephone",0.0125439259991803
"1739","response~(used_car+other_install+foreign)^3","response~used_car+other_install+foreign",0.0124662231008322
"2503","response~(education+rent+num_dependents)^3","response~education+rent+num_dependents",0.0124146198531244
"123","response~(chk_acct+furniture+other_install)^3","response~chk_acct+furniture+other_install",0.0124043591357519
"2631","response~(retraining+male_mar_or_wid+age)^3","response~retraining+male_mar_or_wid+age",0.0123935980799215
"1295","response~(new_car+employment+guarantor)^3","response~new_car+employment+guarantor",0.0123912972497993
"2618","response~(retraining+male_single+other_install)^3","response~retraining+male_single+other_install",0.0123326061138882
"778","response~(duration+num_credits+foreign)^3","response~duration+num_credits+foreign",0.0122628715283353
"2449","response~(education+guarantor+own_res)^3","response~education+guarantor+own_res",0.0120930021295359
"3983","response~(age+other_install+foreign)^3","response~age+other_install+foreign",0.0120923986209455
"1224","response~(new_car+education+own_res)^3","response~new_car+education+own_res",0.0120705259598429
"2473","response~(education+real_estate+num_dependents)^3","response~education+real_estate+num_dependents",0.0119945455689007
"613","response~(duration+sav_acct+foreign)^3","response~duration+sav_acct+foreign",0.0113987265428884
"3962","response~(prop_unkn_none+own_res+num_credits)^3","response~prop_unkn_none+own_res+num_credits",0.011261869819782
"750","response~(duration+age+rent)^3","response~duration+age+rent",0.0112371549585658
"2395","response~(education+male_div+own_res)^3","response~education+male_div+own_res",0.0111944469752598
"4041","response~(own_res+num_credits+job)^3","response~own_res+num_credits+job",0.0109340562025353
"1023","response~(history+male_single+other_install)^3","response~history+male_single+other_install",0.0108739734853897
"2707","response~(retraining+other_install+num_dependents)^3","response~retraining+other_install+num_dependents",0.0108304656908227
"563","response~(duration+retraining+present_resident)^3","response~duration+retraining+present_resident",0.0107977738473763
"2510","response~(education+own_res+foreign)^3","response~education+own_res+foreign",0.0106988559923869
"2551","response~(retraining+sav_acct+age)^3","response~retraining+sav_acct+age",0.0106599173435102
"3361","response~(install_rate+rent+num_credits)^3","response~install_rate+rent+num_credits",0.0106134466222595
"1007","response~(history+male_div+age)^3","response~history+male_div+age",0.0104858668336613
"1413","response~(new_car+real_estate+num_dependents)^3","response~new_car+real_estate+num_dependents",0.0104837300544231
"2098","response~(radio.tv+amount+telephone)^3","response~radio.tv+amount+telephone",0.0104528991005195
"1100","response~(history+age+other_install)^3","response~history+age+other_install",0.0103974311816924
"3200","response~(employment+prop_unkn_none+age)^3","response~employment+prop_unkn_none+age",0.0103476411780031
"2126","response~(radio.tv+employment+real_estate)^3","response~radio.tv+employment+real_estate",0.010253578528821
"513","response~(duration+radio.tv+employment)^3","response~duration+radio.tv+employment",0.0100815759753424
"385","response~(chk_acct+other_install+foreign)^3","response~chk_acct+other_install+foreign",0.0099903153509172
"1562","response~(used_car+amount+age)^3","response~used_car+amount+age",0.00993062809272771
"1564","response~(used_car+amount+rent)^3","response~used_car+amount+rent",0.00988156804031743
"3366","response~(install_rate+own_res+num_credits)^3","response~install_rate+own_res+num_credits",0.00986538448111466
"568","response~(duration+retraining+rent)^3","response~duration+retraining+rent",0.00982430157989576
"2423","response~(education+male_mar_or_wid+rent)^3","response~education+male_mar_or_wid+rent",0.00973526524654854
"2081","response~(radio.tv+amount+employment)^3","response~radio.tv+amount+employment",0.00947728218049296
"2487","response~(education+age+own_res)^3","response~education+age+own_res",0.00942263150270505
"974","response~(history+employment+age)^3","response~history+employment+age",0.00924752544572494
"1305","response~(new_car+employment+num_dependents)^3","response~new_car+employment+num_dependents",0.0091799996131771
"1837","response~(furniture+amount+prop_unkn_none)^3","response~furniture+amount+prop_unkn_none",0.0089231170197342
"4026","response~(rent+own_res+num_credits)^3","response~rent+own_res+num_credits",0.00885927277242613
"2700","response~(retraining+age+num_dependents)^3","response~retraining+age+num_dependents",0.00878984441130027
"1312","response~(new_car+install_rate+guarantor)^3","response~new_car+install_rate+guarantor",0.0084934328240949
"1392","response~(new_car+guarantor+num_dependents)^3","response~new_car+guarantor+num_dependents",0.00848341763638775
"1114","response~(history+other_install+foreign)^3","response~history+other_install+foreign",0.00844318279947137
"2644","response~(retraining+co.applicant+age)^3","response~retraining+co.applicant+age",0.00832317154997123
"1647","response~(used_car+male_single+age)^3","response~used_car+male_single+age",0.00831913188980723
"718","response~(duration+guarantor+foreign)^3","response~duration+guarantor+foreign",0.00817848716348414
"2479","response~(education+prop_unkn_none+own_res)^3","response~education+prop_unkn_none+own_res",0.00811967197779438
"188","response~(chk_acct+retraining+age)^3","response~chk_acct+retraining+age",0.00798483463244834
"2706","response~(retraining+other_install+job)^3","response~retraining+other_install+job",0.00798317096626915
"2569","response~(retraining+employment+age)^3","response~retraining+employment+age",0.00796949438630584
"2132","response~(radio.tv+employment+num_credits)^3","response~radio.tv+employment+num_credits",0.00788715368894484
"2437","response~(education+co.applicant+own_res)^3","response~education+co.applicant+own_res",0.0078053762296505
"2460","response~(education+present_resident+own_res)^3","response~education+present_resident+own_res",0.00780195343957601
"2134","response~(radio.tv+employment+num_dependents)^3","response~radio.tv+employment+num_dependents",0.00779978669247847
"2436","response~(education+co.applicant+rent)^3","response~education+co.applicant+rent",0.0076220606758726
"3203","response~(employment+prop_unkn_none+own_res)^3","response~employment+prop_unkn_none+own_res",0.00758138276561982
"2133","response~(radio.tv+employment+job)^3","response~radio.tv+employment+job",0.00722777350163581
"1125","response~(history+own_res+foreign)^3","response~history+own_res+foreign",0.00687882797714757
"2072","response~(radio.tv+retraining+other_install)^3","response~radio.tv+retraining+other_install",0.00686941469636029
"2617","response~(retraining+male_single+age)^3","response~retraining+male_single+age",0.00685847721471433
"2486","response~(education+age+rent)^3","response~education+age+rent",0.00680152629201492
"2657","response~(retraining+guarantor+other_install)^3","response~retraining+guarantor+other_install",0.00673366460965898
"875","response~(history+radio.tv+other_install)^3","response~history+radio.tv+other_install",0.00669390499581327
"2379","response~(education+install_rate+own_res)^3","response~education+install_rate+own_res",0.00666483957228096
"764","response~(duration+rent+own_res)^3","response~duration+rent+own_res",0.00657748506051524
"433","response~(duration+history+foreign)^3","response~duration+history+foreign",0.00641702915428375
"1524","response~(used_car+education+own_res)^3","response~used_car+education+own_res",0.00634136286909602
"2708","response~(retraining+other_install+telephone)^3","response~retraining+other_install+telephone",0.00600228950344511
