y2	x1	x2
0.660536709	1.204444812	1.454922284
0.686435511	1.211086539	1.470045992
0.909789043	1.233897156	1.53517028
0.629968786	1.25560377	1.557480872
0.611108637	1.258561779	1.572142983
0.924904258	1.263051528	1.595278081
1.175667042	1.273094355	1.619887608
0.560595658	1.275085352	1.627167384
1.132289752	1.278630633	1.627100885
0.988300156	1.284891639	1.658860648
1.33488344	1.293383324	1.669920078
0.740466625	1.293532723	1.706240023
0.95030526	1.312555147	1.758192755
0.685610933	1.319790182	1.743536486
1.208198769	1.331906409	1.788825261
0.57762011	1.346874831	1.818826121
0.956457885	1.372867536	1.886797418
0.687612821	1.378615746	1.907528148
0.742687434	1.38873265	1.939350731
1.085840106	1.404999278	1.96997666
0.817783479	1.406255879	1.966117281
0.731957987	1.410247576	1.954421071
0.758016207	1.428253576	2.009254973
0.608517667	1.430815908	2.070943644
0.769264594	1.432120196	2.029227222
0.619480359	1.447778542	2.066289451
0.767325602	1.453609713	2.12378365
0.666147168	1.454243372	2.145716661
0.518346694	1.46026788	2.122930356
0.613337615	1.476894412	2.194902517
0.666189423	1.501343324	2.272747346
0.945151719	1.51393821	2.307673694
0.685377229	1.521128061	2.301807419
0.57420698	1.528513736	2.331177505
1.013586685	1.536244023	2.374234646
0.679505485	1.539643962	2.374564743
0.712826953	1.555151699	2.438515299
0.836732889	1.56465404	2.462002085
0.768934167	1.567028546	2.477250652
0.703262765	1.575020384	2.501475338
0.600062923	1.604016857	2.583080416
0.593226698	1.632838052	2.693263483
1.088215078	1.63344045	2.647584817
0.767924972	1.633605499	2.673589058
0.687324684	1.637739279	2.644367295
0.558012195	1.641844778	2.671252929
0.660521841	1.643860972	2.694856722
0.639999925	1.664450394	2.795710648
0.933387038	1.687955006	2.838148625
0.604594519	1.707975147	2.912064996
0.52638007	1.715632697	2.920865209
0.5421777	1.720629385	2.913673556
0.631284675	1.721739501	2.951863697
0.655428358	1.727673315	2.971272067
0.554348051	1.746004548	3.047207481
0.462601883	1.746807255	3.048393305
0.565965866	1.747400808	3.083310636
0.40511142	1.777783592	3.163075151
0.858891664	1.789394529	3.181499702
0.685018978	1.806958337	3.309941918
0.500067486	1.812588397	3.275073585
0.73608993	1.815387382	3.274739756
0.965517542	1.819030762	3.341877512
0.387877798	1.820159436	3.320332843
0.513288266	1.83485583	3.342182742
0.537526707	1.851838693	3.435533932
0.605448247	1.863477398	3.485811005
0.482573908	1.881781545	3.543903549
0.44656276	1.888678481	3.560769878
0.554612693	1.895514868	3.621613808
0.593387332	1.896374144	3.574214843
0.655610652	1.906293577	3.64536828
0.515195168	1.912338899	3.704460718
0.562014518	1.913284144	3.641720896
0.705513735	1.93022134	3.750601884
0.660853466	1.945861723	3.738301396
0.425922331	1.965895376	3.87696789
0.449938729	1.992768386	4.001375403
0.583051397	1.994233345	3.999736547
0.410991625	1.998727634	4.002754866
0.541568806	2.000233509	3.993769961
0.369916047	2.002498857	4.039360087
0.45467073	2.002975438	3.996130554
0.505509552	2.020020616	4.09210862
0.525920803	2.052621685	4.209190064
0.483114741	2.052716465	4.217589035
0.609745888	2.071991366	4.282633527
0.408392366	2.072171898	4.298330803
0.449166902	2.100347554	4.406138133
