y	x1	x2	x3
1.000777539	5.502698006	0.198794822	0.426296886
-0.255075774	5.152999595	0.671064333	0.440524377
1.464588883	2.788098894	-0.824355494	0.598888416
1.975924149	1.395551595	-0.078276551	0.846500173
0.158759063	1.307267824	0.584100855	0.874616596
-0.413587107	1.005236399	0.945527524	0.997392039
2.692198043	1.003586545	1.059101747	0.998211537
-0.130402274	0.841883634	1.021128247	1.089868164
0.283132794	0.838004917	1.819696025	1.092387486
1.512888638	0.755858748	3.400980932	1.150216725
0.616906066	0.673652416	3.973164198	1.218378044
2.015805882	0.643806146	2.497142719	1.246299557
-0.126433158	0.643365289	3.158461112	1.246726489
2.864636844	0.631546743	2.744915677	1.258337822
1.714913568	0.538846069	3.98267666	1.362283952
0.255996225	0.534900244	3.292742545	1.367299333
1.305387286	0.521689681	3.102391821	1.384502923
1.812528527	0.510371164	2.120227334	1.399770819
1.602548905	0.508659728	2.332297317	1.402123675
2.685578811	0.505772644	5.094687011	1.406119827
1.665791996	0.461453565	5.236294625	1.472095542
2.42088385	0.441605904	6.672434118	1.504813104
3.843150598	0.438594992	4.725839261	1.509969468
2.80703669	0.435677946	5.952550586	1.515015973
2.308178623	0.433073948	6.267603375	1.519563911
0.803740609	0.430398037	6.18156957	1.524280377
2.141648099	0.425790424	4.914638332	1.532505546
3.062439153	0.425101876	5.274842041	1.533746163
0.561671898	0.417739937	6.43988779	1.547201942
2.205210974	0.411213075	6.116854358	1.559432361
1.944371433	0.407831392	7.013197655	1.565884315
1.269098307	0.399861913	6.947308476	1.581411819
1.623755803	0.398060736	7.394655063	1.58498563
2.011043698	0.396620855	7.396258042	1.587860066
2.769771855	0.390392943	7.071910399	1.600475464
2.868381064	0.371445197	8.603040766	1.640788586
0.32392973	0.369602246	6.293187925	1.644874239
1.65224353	0.362727124	7.846567676	1.66038952
2.241384786	0.350779447	6.235894914	1.688429497
3.366384802	0.348965154	6.991685666	1.692812934
2.476363926	0.343715185	8.093415712	1.705692109
2.620489864	0.337800874	10.0292943	1.720559182
0.947446777	0.333029124	8.464275937	1.732841707
2.839259923	0.331216484	8.859702786	1.737576879
3.692811258	0.324777925	8.353890119	1.754715645
3.532664128	0.320507725	7.390113333	1.766366215
2.730715294	0.313518055	9.547444681	1.785947637
2.54140611	0.311082184	9.654403345	1.79292627
3.442861723	0.307710541	10.49502832	1.802722227
4.793959176	0.29316657	11.48801248	1.846897431
3.5129689	0.290023071	13.3837674	1.856879522
5.768236064	0.288517658	12.14113556	1.861717584
1.430510216	0.284560757	11.32786346	1.874616762
2.153713965	0.27199242	12.47260979	1.917439191
1.128528068	0.267409419	15.63471901	1.93380042
6.312485865	0.264137145	14.70075358	1.94574203
4.213013866	0.260747807	13.48251225	1.958347092
3.870175183	0.260299494	15.0702477	1.960032795
3.145875107	0.259611893	15.50031144	1.962626723
4.515959906	0.257654911	15.20349319	1.970066053
5.115853984	0.253355316	15.26218725	1.98671234
3.676125344	0.250984612	17.30656996	1.996073147
3.353284859	0.24648356	15.35877968	2.014215905
2.792064256	0.246180647	17.07096701	2.015454721
4.179290514	0.244875159	19.0477488	2.020820015
3.669713663	0.242937645	15.99701647	2.028862388
